Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
Web Development Foundations,Male,2019,2019-04-07,April,Trade - MA,2019-04-29,2019-05-06,2019-08-26,Training Completed,Email,AM,6218.35,Admitted,6218.35,Yes,"$75,000-$99,999",Technical Support Specialist,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2018,2019,112,29,1,1
CompTIA Skills Builder,Male,2021,2021-06-22,July,WIOA - VT,2021-07-05,2021-07-19,2022-02-28,Training Completed,Don't know,CB,6048.52,Dropped Out,6048.52,Yes,"$25,000-$49,999",Cloud Support Specialist,VT,Summit Cloud Services,,Completion Certificate,Rutland Career Center,2021,2021,224,27,1,1
Java Programmer Analyst 1,Female,2022,2021-11-29,December,WIOA - PA,2021-12-09,2022-01-03,2022-04-25,Training Completed,Don't know,AM,6236.64,Admitted,6236.64,,,,PA,,,Course Completion certificate,Philadelphia Career Center,2021,2021,112,35,1,0
CompTIA-Cybersecurity Specialist,Female,2026,2026-03-19,March,WIOA - NH,2026-03-29,2026-04-06,2026-06-29,Training Completed,Vermont JobLink,RJ,6644.76,Done with training,6644.76,,,,NH,,,Course Completion certificate,Nashua Career Center,2025,2025,84,18,1,0
AWS DevOps Admin with Certification,Female,2019,2019-07-22,August,WIOA - MA,2019-08-02,2019-08-05,2019-10-14,Training Completed,Career Center Reference - Phone,ML,5593.41,Admitted,5593.41,Yes,"$75,000-$99,999",QA Tester,MA,Pioneer Digital,,Course Completion certificate,Boston Career Center,2019,2019,70,14,1,1
Big Data with Data Science and Python,Male,2021,2021-10-11,November,Vocational Rehab,2021-11-01,2021-11-15,2022-02-21,Training Completed,Phone call,AD,6192.05,Done with training,6192.05,No,,,NH,,,Course Completion certificate,Nashua Career Center,2021,2021,98,35,1,0
Intro to IT with Microsoft,Male,2026,2026-03-12,March,MassAbility,2026-03-27,2026-04-06,2026-06-29,Training Completed,Masshire Website,JW,6798.58,Admitted,6798.58,Yes,"$100,000-$124,999",Web Developer,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2025,2025,84,25,1,1
Data Scientist,Female,2018,2018-07-17,July,WIOA - MD,2018-07-24,2018-08-06,2019-01-21,Training Completed,Masshire Website,RJ,6049.18,Admitted,6049.18,Yes,"$125,000-$149,999",Technical Support Specialist,MD,Harbor Systems,,Course Completion certificate,Rockville Career Center,2018,2018,168,20,1,1
Python Web Development,Female,2022,2022-07-20,August,WIOA - NJ,2022-08-17,2022-09-05,2022-12-12,Dropped Out,Email,AM,6476.39,Done with training,6476.39,Yes,"$75,000-$99,999",SQL Developer,NJ,Harbor Systems,,Course Completion certificate,Newark Career Center,2022,2022,98,47,0,1
Data Science with Programming Tools,Female,2017,2017-02-23,March,WIOA - VA,2017-03-23,2017-04-03,2017-06-12,Training Completed,Maryland Joblink,RJ,4823.81,Admitted,4823.81,,,,VA,,,Course Completion certificate,Norfolk Career Center,2016,2016,70,39,1,0
